street,zip,city,Use_Code,Tax_Year,Tax_Value,year_built,lot_size,finished_sq_feet,bathrooms,bedrooms,zestimate
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2302 S Budlong Ave,90007,LOS ANGELES,SingleFamily,2018,623194.0,1903,6751,2416,2.0,4,912800
313 Dave Dr,90732,SAN PEDRO,SingleFamily,2018,553799.0,1974,7302,1941,3.0,3,902718
2602 S Holt Ave,90034,LOS ANGELES,SingleFamily,2018,548668.0,1928,4469,1704,2.0,3,1149251
12343 Cantura St,91604,STUDIO CITY,SingleFamily,2018,822478.0,1935,5200,1588,2.0,3,1203656
16610 Parthenia St,91343,NORTH HILLS,SingleFamily,2018,542000.0,1976,16198,1791,2.0,3,556412
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3521 Verdugo Rd,90065,LOS ANGELES,Triplex,2018,299154.0,1921,6353,2788,5.0,5,1122649
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2030 6th Ave,90018,LOS ANGELES,Quadruplex,2018,47436.0,1913,7499,4504,4.0,4,1196716
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17238 Kingsbury St,91344,GRANADA HILLS,SingleFamily,2018,231740.0,1950,9499,885,1.0,2,551246
11414 Darby Ave,91326,PORTER RANCH,SingleFamily,2018,364708.0,1965,7562,2001,3.0,4,740315
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12502 Hesby St,91607,VALLEY VILLAGE,SingleFamily,2018,507876.0,1969,5649,1994,2.0,3,1066800
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8918 Fleetwing Ave,90045,LOS ANGELES,SingleFamily,2018,683985.0,1942,5830,1756,2.0,3,970656
