street,zip,city,Use_Code,Tax_Year,Tax_Value,year_built,lot_size,finished_sq_feet,bathrooms,bedrooms,zestimate
2653 Onyx Dr,90032,Los Angeles,SingleFamily,2018,7803.0,NA,5718,NA,NA,0,
14927 Tuba St,91345,MISSION HILLS,SingleFamily,2018,161549.0,1953,6899,1222,2.0,3,530299
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22545 Hatteras St,91367,WOODLAND HILLS,SingleFamily,2018,513291.0,1960,11025,2115,2.0,4,859160
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4801 Sawtelle Blvd,90230,Culver City,MultiFamily2To4,2018,1000863.0,1951,2408,2447,6.0,6,2128141
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11957 Sonoma Way,91326,PORTER RANCH,SingleFamily,2018,467391.0,1976,11077,1889,2.0,3,779356
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4861 Lindley Ave,91356,TARZANA,SingleFamily,2018,508658.0,1950,5662,813,1.0,2,850853
2245 Riverdale Ave,90031,LOS ANGELES,SingleFamily,2018,672577.0,1924,5504,1096,1.0,2,752121
7821 Emerson Ave,90045,LOS ANGELES,SingleFamily,2018,397131.0,1948,5199,1571,2.0,4,1309406
3024 Haddington Dr,90064,LOS ANGELES,SingleFamily,2018,1638000.0,1938,6242,2312,4.0,4,2103532
9721 Swinton Ave,91343,NORTH HILLS,SingleFamily,2018,250477.0,1956,8906,1595,2.0,3,610536
12309 Clover Rd,91331,PACOIMA,Condominium,2018,324875.0,1987,172012,1319,2.0,3,390237
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20225 Lassen St,91311,CHATSWORTH,SingleFamily,2018,575000.0,1960,7200,1303,2.0,3,591141
8174 Manitoba St UNIT 5,90293,Los angeles,Townhouse,2018,746200.0,1979,242045,1414,3.0,3,835900
117 S Clark Dr APT 101,90048,West Hollywood,Condominium,2018,159401.0,1993,11763,1295,3.0,2,929885
1439 N Marine Ave,90744,WILMINGTON,SingleFamily,2018,394853.0,1953,5575,1409,2.0,3,509046
10634 Bloomfield St,91602,NORTH HOLLYWOOD,SingleFamily,2018,520200.0,1939,5063,1181,1.0,2,1042262
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8807 Owensmouth Ave APT 7,91304,Canoga Park,Apartment,NA,NA,NA,NA,750,1.0,1,
205 W 98th St,90003,LOS ANGELES,SingleFamily,2018,396113.0,1921,5227,1472,1.0,3,444414
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5050 Romaine St APT 3,90029,Los Angeles,Apartment,NA,NA,NA,NA,700,1.0,1,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9307 Holmes Ave,90002,LOS ANGELES,Duplex,2018,256691.0,1940,8163,2068,2.0,4,527034
1318 W 83rd St,90044,LOS ANGELES,Duplex,2018,38082.0,1948,3475,1903,2.0,4,532231
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7938 Stewart Ave,90045,LOS ANGELES,SingleFamily,2018,117165.0,1948,6120,1814,2.0,3,1367210
542 E Proctor St,90744,WILMINGTON,SingleFamily,2018,380000.0,1960,5214,1346,2.0,3,512646
10435 Independence Ave,91311,CHATSWORTH,SingleFamily,2018,264020.0,1954,22500,2060,2.5,3,742221
316 N Reno St,90026,LOS ANGELES,MultiFamily2To4,2018,125621.0,1924,6239,3000,2.0,4,1198221
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1726 W 71st St,90047,LOS ANGELES,SingleFamily,2018,283606.0,1923,4817,886,1.0,2,390926
2027 San Ysidro Dr,90210,BEVERLY HILLS,SingleFamily,2018,781737.0,1957,11830,3301,4.0,4,2801004
9045 Wildwood Ave,91352,SUN VALLEY,SingleFamily,2018,688000.0,1943,15581,1394,1.0,3,713118
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
135 1/2 E 60th St,90003,Los Angeles,SingleFamily,2018,226295.0,1913,5122,1288,2.0,4,448694
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19833 Welby Way,91306,WINNETKA,SingleFamily,2018,161941.0,1952,6480,1072,1.0,3,523935
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18812 Wyandotte St,91335,RESEDA,SingleFamily,2018,69544.0,1951,7452,1562,2.0,3,534897
18806 Wells Dr,91356,TARZANA,SingleFamily,2018,203901.0,1948,17973,2108,3.0,4,1150235
2614 1/2 West Blvd,90016,Los Angeles,Condominium,NA,NA,2012,NA,750,1.0,1,548893
1572 Rockwood St,90026,LOS ANGELES,MultiFamily2To4,2018,442432.0,2005,4560,2598,4.0,8,1148918
4720 Saloma Ave,91403,SHERMAN OAKS,SingleFamily,2018,313675.0,1948,11437,1279,2.0,2,961971
3845 Keeshen Dr,90066,LOS ANGELES,SingleFamily,2018,125515.0,1948,4902,1402,2.0,3,1318029
7949 Shoup Ave,91304,CANOGA PARK,SingleFamily,2018,428400.0,1959,7405,2500,3.0,4,726949
760 W Century Blvd,90044,LOS ANGELES,SingleFamily,2018,36791.0,1926,4305,1138,1.0,2,412999
3768 Ruthelen St,90018,LOS ANGELES,Duplex,2018,286388.0,1927,6588,1832,2.0,2,658994
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3706 S Walker Ave,90731,SAN PEDRO,SingleFamily,2018,506345.0,1939,6250,1615,2.0,3,808929
3500 Caribeth Dr,91436,ENCINO,SingleFamily,2018,182457.0,1963,12192,2300,3.0,3,1652950
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8 Beverly Ridge Ter,90210,BEVERLY HILLS,SingleFamily,2018,1.1904873E7,2003,173151,11206,8.25,6,19219260
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1605 251st St,90710,HARBOR CITY,SingleFamily,2018,465000.0,1947,6912,1366,2.0,3,603242
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12930 Walsh Ave,90066,LOS ANGELES,SingleFamily,2018,81399.0,1952,8330,1054,1.0,3,1287658
6600 Brennan Ave,91307,WEST HILLS,SingleFamily,2018,434044.0,1959,7450,1570,2.0,4,657990
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7506 Forbes Ave,91406,VAN NUYS,SingleFamily,2018,142425.0,1948,5973,1111,1.0,2,540121
5449 8th Ave,90043,LOS ANGELES,SingleFamily,2018,164898.0,1911,6071,1200,1.0,2,584801
2157 Grenadier Dr,90732,SAN PEDRO,SingleFamily,2018,157787.0,1961,7199,1952,2.0,3,918806
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12233 Dehougne St,91605,NORTH HOLLYWOOD,SingleFamily,2018,286906.0,1954,6295,1606,2.0,3,650403
16335 Tulsa St,91344,GRANADA HILLS,SingleFamily,2018,480599.0,1957,7565,1517,2.0,3,620398
134 W 119th St,90061,LOS ANGELES,SingleFamily,2018,184067.0,1941,6500,894,1.0,2,392328
12421 Indianapolis St,90066,LOS ANGELES,SingleFamily,2018,514273.0,1947,6840,2024,2.0,4,1782307
1071 S Hayworth Ave,90035,LOS ANGELES,MultiFamily2To4,2018,1600000.0,1927,6534,3908,4.0,6,2357293
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1175 E 21st St,90011,LOS ANGELES,Duplex,2018,500575.0,1903,7495,2106,2.0,6,539208
11051 Whitegate Ave,91040,SUNLAND,SingleFamily,2018,282577.0,1948,4218,1800,2.0,3,690966
1228 W 8th St,90017,San Pedro,SingleFamily,2018,58127.0,1929,6726,1085,1.0,2,609143
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10342 Memory Park Ave,91345,MISSION HILLS,SingleFamily,2018,356498.0,1954,7499,1437,2.0,3,555247
244 S Orange Dr,90036,LOS ANGELES,Duplex,2018,349211.0,1925,7290,4507,4.0,6,2333507
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6543 Woodman Ave APT 205,91401,Van Nuys,Apartment,NA,NA,NA,NA,NA,2.0,2,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20225 Haynes St,91306,WINNETKA,SingleFamily,2018,549000.0,1958,NA,1474,2.0,3,616272
9242 N Lamia Ct,91343,North Hills,Condominium,2018,409259.0,2017,NA,1994,3.0,3,606544
4812 Corbin Ave,91356,TARZANA,SingleFamily,2018,1315969.0,1978,26136,3554,4.0,4,1398729
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5437 8th Ave,90043,LOS ANGELES,SingleFamily,2018,360195.0,1921,261360,1488,2.0,3,639796
1405 1/2 N Edgemont St,90027,Los Angeles,Apartment,NA,NA,NA,NA,NA,1.0,1,
10730 Baird Ave,91326,PORTER RANCH,SingleFamily,2018,128591.0,1961,10053,2358,3.0,4,739215
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5039 Almaden Dr,90042,LOS ANGELES,SingleFamily,2018,769895.0,1922,5009,1344,2.0,2,889674
834 W 83rd St,90044,Los Angeles,MultiFamily2To4,NA,NA,2012,NA,850,1.0,2,447841
6941 Chimineas Ave,91335,RESEDA,SingleFamily,2018,439932.0,1948,6751,1529,2.0,3,563642
407 W 108th St,90061,LOS ANGELES,SingleFamily,2018,79405.0,1923,4791,776,1.0,2,351134
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3667 Wellington Rd,90016,LOS ANGELES,SingleFamily,2018,110716.0,1938,6266,1242,1.0,2,741996
9632 S Western Ave APT 6,90047,Los Angeles,Apartment,NA,NA,1950,6011,5129,8.0,10,
3985 Wasatch Ave # A,90066,Los Angeles,Apartment,NA,NA,NA,NA,368,1.0,1,
11249 Dora St,91352,SUN VALLEY,SingleFamily,2018,166803.0,1927,5639,1003,1.0,4,522117
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5449 Bellingham Ave,91607,VALLEY VILLAGE,Triplex,2018,94108.0,1954,7015,3438,3.0,7,1310984
7438 W 80th St,90045,LOS ANGELES,SingleFamily,2018,1708887.0,2006,5600,3857,NA,5,2588679
1053 Carmona Ave,90019,Los Angeles,Townhouse,NA,NA,1920,NA,1400,2.0,3,1164497
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2425 9th Ave,90018,LOS ANGELES,SingleFamily,2018,121000.0,1913,7000,2828,2.0,3,912903
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12024 Art St,91352,SUN VALLEY,SingleFamily,2018,192152.0,1956,7524,1275,2.0,4,556401
9032 Mulberry Dr,91040,SUNLAND,SingleFamily,2018,391882.0,1964,13860,1555,2.0,4,688374
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16045 Northfield St,90272,PACIFIC PALISADES,SingleFamily,2018,2460700.0,2018,5649,3706,6.0,5,4228193
16052 Jersey St,91344,GRANADA HILLS,SingleFamily,2018,168602.0,1956,7426,1316,2.0,3,573100
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
955 Hartzell St,90272,PACIFIC PALISADES,SingleFamily,2018,2210000.0,1941,5204,836,1.0,2,2288050
18619 Daisy Pl,91326,PORTER RANCH,SingleFamily,2018,753248.0,1965,8386,2090,3.0,4,762045
1490 Glenville Dr,90035,LOS ANGELES,SingleFamily,2018,1715373.0,1937,7252,1899,2.0,3,2157356
1801 S Meyler St,90731,SAN PEDRO,SingleFamily,2018,428109.0,2001,4501,2613,3.0,4,789169
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4323 Ethel Ave,91604,STUDIO CITY,SingleFamily,2018,338894.0,1939,8873,1533,1.0,2,1324337
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1321 W 26th St,90732,SAN PEDRO,SingleFamily,2018,98988.0,1945,5494,1758,2.0,4,787623
3133 Curts Ave,90034,LOS ANGELES,Duplex,2018,451864.0,1933,6353,1414,1.0,2,1200605
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3512 Wadsworth Ave,90011,LOS ANGELES,SingleFamily,2018,266941.0,1909,2599,972,1.0,3,376714
5661 Pickford St,90019,LOS ANGELES,SingleFamily,2018,38517.0,1938,3299,1061,1.0,2,1093281
216 N Breed St,90033,LOS ANGELES,MultiFamily2To4,2018,739500.0,1927,9957,4604,NA,0,1197039
23426 Halldale Ave,90710,HARBOR CITY,SingleFamily,2018,109796.0,1969,5074,1574,2.0,4,626377
4605 Bowman Blvd,90032,LOS ANGELES,SingleFamily,2018,497310.0,1948,7984,1446,2.0,3,706838
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15834 Vanowen St,91406,VAN NUYS,MultiFamily2To4,2018,526654.0,1952,8499,2840,3.0,6,828211
9902 Holmes Ave,90002,LOS ANGELES,SingleFamily,2018,201464.0,1996,4250,1476,3.0,3,402468
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5081 Glen Iris Ave,90041,LOS ANGELES,MultiFamily2To4,2018,104681.0,1950,9870,1000,1.0,2,861770
910 Las Lomas Ave,90272,PACIFIC PALISADES,SingleFamily,2018,1152606.0,1950,4843,1205,1.0,2,2224934
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11117 Thelma St,91352,SUN VALLEY,SingleFamily,2018,178343.0,1953,9006,1934,2.0,3,676047
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
906 N Fries Ave APT 10,90744,Wilmington,Apartment,NA,NA,1928,NA,6312,1.0,1,
2807 Wabash Ave,90033,Los Angeles,Apartment,2018,225200.0,1924,7516,4508,8.0,8,
194 E 47th Pl,90011,LOS ANGELES,Triplex,2018,43474.0,1923,7155,2208,3.0,3,546883
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
728 W Colden Ave,90044,LOS ANGELES,MultiFamily2To4,2018,340331.0,1921,10300,3264,4.0,8,691215
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5107 Bohlig Rd,90032,LOS ANGELES,SingleFamily,2018,26881.0,1927,4715,864,1.0,2,538102
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3761 Sutro Ave,90018,LOS ANGELES,SingleFamily,2018,484548.0,1938,5306,1300,1.0,2,698862
1783 Albion St,90031,LOS ANGELES,MultiFamily2To4,2018,342804.0,1905,8972,-1,2.0,4,709576
1701 Mccollum St,90026,LOS ANGELES,SingleFamily,2018,827925.0,1983,13939,2496,3.0,4,1572121
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2374 Earls Ct,90077,LOS ANGELES,SingleFamily,2018,1.3308951E7,2003,47593,11045,9.0,6,15239290
19133 Napa St,91324,NORTHRIDGE,SingleFamily,2018,72779.0,1960,8386,1232,2.0,3,528240
372 E 51st St,90011,LOS ANGELES,SingleFamily,2018,102922.0,1901,5082,1440,1.0,3,400264
572 Dryad Rd,90402,SANTA MONICA,SingleFamily,2018,180681.0,1939,5816,2170,3.0,3,3035919
802 W 147th St,90247,GARDENA,SingleFamily,2018,355527.0,1948,5458,1467,2.0,3,560334
2049 Stonewood Ct,90732,SAN PEDRO,Condominium,2018,524000.0,1979,466064,1598,3.0,3,587150
345 W I St,90744,WILMINGTON,SingleFamily,2018,225541.0,1923,4664,936,1.0,2,403495
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3723 Rosemead Ave,90032,Los Angeles,SingleFamily,NA,NA,1932,NA,1200,2.0,3,652509
3781 Greenwood Ave,90066,Los Angeles,SingleFamily,NA,NA,1936,5000,1285,1.0,2,1370653
1383 Lucile Ave,90026,LOS ANGELES,Triplex,2018,717535.0,1918,11024,4057,NA,NA,1412517
13865 Almetz St,91342,SYLMAR,SingleFamily,2018,96774.0,1965,7767,2032,2.0,4,655665
6823 Valmont St,91042,Tujunga,Townhouse,2018,450210.0,2012,12143,1750,3.0,3,601967
22630 Waterbury St,91364,WOODLAND HILLS,SingleFamily,2018,888826.0,1968,11891,2651,3.0,4,1158065
3016 Halldale Ave,90018,LOS ANGELES,MultiFamily2To4,2018,441014.0,1924,7400,2142,NA,0,803085
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20449 Enadia Way,91306,WINNETKA,SingleFamily,2018,202254.0,1975,7782,1930,2.0,4,613132
10622 Grape St,90002,LOS ANGELES,SingleFamily,2018,141461.0,2005,3253,1159,2.0,4,348753
3200 Cardiff Ave,90034,LOS ANGELES,SingleFamily,2018,757577.0,1941,5000,1347,1.0,2,1217973
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8048 El Manor Ave,90045,LOS ANGELES,SingleFamily,2018,1474794.0,1993,8607,3645,3.5,4,2007538
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
803 W 134th St,90247,GARDENA,SingleFamily,2018,259739.0,1947,7501,918,2.0,4,498599
328 Hilgard Ave,90024,LOS ANGELES,SingleFamily,2018,1171131.0,1952,9603,2859,2.0,3,2841476
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15712 Vintage St,91343,NORTH HILLS,SingleFamily,2018,409397.0,1955,6624,1469,2.0,4,571779
7512 Wystone Ave,91335,RESEDA,SingleFamily,2018,515100.0,1954,7562,1220,3.0,3,564969
3507 Greensward Rd,90039,LOS ANGELES,SingleFamily,2018,157486.0,1924,5003,1160,1.0,3,1144844
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16653 Pineridge Dr,91344,GRANADA HILLS,SingleFamily,2018,644620.0,1963,16883,2574,3.0,4,878787
3686 Amesbury Rd,90027,LOS ANGELES,SingleFamily,2018,522449.0,1937,8520,2785,3.0,3,2263449
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14254 Weddington St,91401,Sherman Oaks,SingleFamily,2018,185036.0,1951,6764,1813,2.0,3,955182
1947 Kelton Ave,90025,LOS ANGELES,SingleFamily,2018,469723.0,1924,6757,1513,2.0,2,1744265
2714 Blanchard St,90033,LOS ANGELES,SingleFamily,2018,428000.0,1922,5843,1130,1.0,3,472551
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4600 Edelle Pl,90032,LOS ANGELES,SingleFamily,2018,51871.0,1949,8371,1267,2.0,3,700819
23500 Calvert St,91367,WOODLAND HILLS,SingleFamily,2018,378888.0,1965,10890,2280,3.0,5,785089
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1222 Blinn Ave,90744,WILMINGTON,SingleFamily,2018,49075.0,1955,5206,1342,1.0,4,466591
5518 Sylvia Ave,91356,TARZANA,SingleFamily,2018,400980.0,1940,7056,2000,2.0,4,859002
1558 N Kingsley Dr,90027,LOS ANGELES,SingleFamily,2018,318581.0,1918,6729,1588,2.0,3,1137915
406 N Rampart Blvd,90026,LOS ANGELES,MultiFamily2To4,2018,255351.0,1921,5501,2280,1.0,1,1118748
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
631 Rosemont Ave,90026,LOS ANGELES,MultiFamily2To4,2018,496025.0,1920,3624,1020,NA,0,797461
2231 Midvale Ave,90064,LOS ANGELES,SingleFamily,2018,526063.0,1925,5407,2221,4.0,3,2078414
2411 S Budlong Ave,90007,LOS ANGELES,SingleFamily,2018,259547.0,1885,8585,2060,1.0,3,870808
5337 Baza Ave,91364,WOODLAND HILLS,SingleFamily,2018,328165.0,1952,5350,1631,4.0,3,817186
801 Sarbonne Rd,90077,LOS ANGELES,SingleFamily,2018,1656406.0,1937,118198,9856,9.0,13,26918929
2824 Wigtown Rd,90064,LOS ANGELES,SingleFamily,2018,1162567.0,1925,6455,1890,3.0,3,2165683
10910 White Oak Ave,91344,GRANADA HILLS,SingleFamily,2018,277821.0,1954,6999,1515,2.0,2,670998
13113 Rose Ave,90066,LOS ANGELES,SingleFamily,2018,2135032.0,2008,6979,4682,6.0,5,3569890
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9065 Cattaraugus Ave,90034,Los Angeles,Unknown,NA,NA,NA,NA,NA,NA,NA,1908372
7414 Delco Ave,91306,WINNETKA,SingleFamily,2018,392316.0,1970,8276,1629,2.0,3,609449
9565 Sundance St,91331,PACOIMA,Condominium,2018,292532.0,2011,26592,1557,3.0,4,468115
6544 Peterson Ave,91307,WEST HILLS,SingleFamily,2018,65237.0,1960,7585,1150,2.0,3,633852
353 E 84th St,90003,LOS ANGELES,SingleFamily,2018,453778.0,1922,5227,2660,1.5,3,567343
9714 Beverlywood St,90034,LOS ANGELES,SingleFamily,2018,1123110.0,1947,7199,2188,3.0,4,1968057
3135 Chandelle Rd,90046,LOS ANGELES,SingleFamily,2018,1502350.0,1964,10886,2235,3.0,3,2035719
2382 Century Hl,90067,LOS ANGELES,Condominium,2018,772132.0,1980,787351,1961,3.0,2,1252234
5014 Del Moreno Dr,91364,WOODLAND HILLS,SingleFamily,2018,839930.0,1976,19677,4362,4.0,6,1714435
2727 Griffith Park Blvd,90027,Los Angeles,Apartment,NA,NA,1950,NA,1000,1.0,1,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6212 Fulton Ave.,91401,Van Nuys,MultiFamily2To4,NA,NA,NA,NA,8836,6.0,9,3148916
2540 Nottingham Ave,90027,LOS ANGELES,SingleFamily,2018,706287.0,1932,19707,6590,5.0,6,5177291
15408 Stonewood Ter,91403,SHERMAN OAKS,SingleFamily,2018,1562183.0,1956,9147,2932,3.0,4,1691007
9736 Yoakum Dr,90210,BEVERLY HILLS,SingleFamily,2018,725537.0,1946,7200,1394,2.0,3,1187773
14321 Nordhoff St,91402,PANORAMA CITY,SingleFamily,2018,370080.0,1950,23635,1726,2.0,3,573285
545 S Plymouth Blvd,90020,LOS ANGELES,SingleFamily,2018,1905360.0,1922,32220,10120,5.0,4,6349643
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19317 Pine Valley Ave,91326,PORTER RANCH,SingleFamily,2018,314076.0,1975,7984,1694,2.0,3,733750
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10158 Monogram Ave,91343,NORTH HILLS,SingleFamily,2018,387590.0,1956,7840,1350,2.0,3,580399
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
121 E 104th St,90003,LOS ANGELES,SingleFamily,2018,363000.0,1957,5633,1168,1.0,3,427800
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3703 S Van Ness Ave,90018,LOS ANGELES,Duplex,2018,31826.0,1911,6122,1915,2.0,3,735012
2571 Wallingford Dr,90210,BEVERLY HILLS,SingleFamily,2018,2.4712E7,2000,226516,38000,24.0,12,173817017
632 E 49th St,90011,LOS ANGELES,Triplex,2018,36912.0,1924,6601,2108,3.0,5,568151
1417 N Neptune Ave,90744,WILMINGTON,SingleFamily,2018,84434.0,1916,6647,1003,2.0,3,440877
6642 Balcom Ave,91335,RESEDA,SingleFamily,2018,505871.0,1949,6494,1049,3.0,3,538002
2859 W 7th St,90005,Los Angeles,SingleFamily,2018,1446437.0,1924,7490,13686,NA,0,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6526 1/2 Fountain Ave,90028,LOS ANGELES,SingleFamily,2018,816609.0,2015,1071,1736,3.0,2,954099
3506 Hillcrest Dr,90016,LOS ANGELES,SingleFamily,2018,99651.0,1944,6239,1128,1.0,3,778248
621 Stone Canyon Rd,90077,LOS ANGELES,SingleFamily,2018,8335860.0,1937,54940,7295,7.0,8,17762169
10404 Mary Ave,90002,LOS ANGELES,SingleFamily,2018,165972.0,1944,7975,1532,2.0,4,445601
5743 Dawn Crk,90094,PLAYA VISTA,SingleFamily,2018,1578286.0,2004,80446,2314,4.0,3,1801818
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18548 Clydesdale Rd,91344,GRANADA HILLS,SingleFamily,2018,1458000.0,2005,18621,4937,5.0,5,1490372
7051 Baird Ave,91335,RESEDA,Duplex,2018,581310.0,2000,8000,2229,3.0,5,705291
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10871 Dora St,91352,SUN VALLEY,SingleFamily,2018,74785.0,1925,8928,640,1.0,2,472452
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10429 Wilsey Ave,91042,TUJUNGA,SingleFamily,2018,276380.0,1952,6414,1161,1.0,3,583935
